LAT,LON,PRECTOTCORR,DATE
-40,143.125,6.05,2006-01-01
-40,143.75,10.06,2006-01-01
-40,144.375,11.39,2006-01-01
-40,145,10.45,2006-01-01
-40,145.625,6.88,2006-01-01
-39.5,143.125,8.39,2006-01-01
-39.5,143.75,11.32,2006-01-01
-39.5,144.375,12.89,2006-01-01
-39.5,145,12.55,2006-01-01
-39.5,145.625,9.47,2006-01-01
-39,143.125,13.79,2006-01-01
-39,143.75,13.03,2006-01-01
-39,144.375,14,2006-01-01
-39,145,14.39,2006-01-01
-39,145.625,11.36,2006-01-01
-38.5,143.125,12.62,2006-01-01
-38.5,143.75,11.7,2006-01-01
-38.5,144.375,11.42,2006-01-01
-38.5,145,11.74,2006-01-01
-38.5,145.625,11.2,2006-01-01
-38,143.125,10.27,2006-01-01
-38,143.75,9.61,2006-01-01
-38,144.375,9.54,2006-01-01
-38,145,10.25,2006-01-01
-38,145.625,10.2,2006-01-01
-40,143.125,0.66,2006-01-02
-40,143.75,0.61,2006-01-02
-40,144.375,0.71,2006-01-02
-40,145,0.68,2006-01-02
-40,145.625,0.39,2006-01-02
-39.5,143.125,0.39,2006-01-02
-39.5,143.75,0.37,2006-01-02
-39.5,144.375,0.44,2006-01-02
-39.5,145,0.41,2006-01-02
-39.5,145.625,0.61,2006-01-02
-39,143.125,0.51,2006-01-02
-39,143.75,0.55,2006-01-02
-39,144.375,0.51,2006-01-02
-39,145,0.76,2006-01-02
-39,145.625,1.18,2006-01-02
-38.5,143.125,0.72,2006-01-02
-38.5,143.75,0.62,2006-01-02
-38.5,144.375,0.67,2006-01-02
-38.5,145,0.63,2006-01-02
-38.5,145.625,1.43,2006-01-02
-38,143.125,0.75,2006-01-02
-38,143.75,0.43,2006-01-02
-38,144.375,0.35,2006-01-02
-38,145,0.62,2006-01-02
-38,145.625,1.48,2006-01-02
-40,143.125,0.31,2006-01-03
-40,143.75,0.16,2006-01-03
-40,144.375,0.1,2006-01-03
-40,145,0.1,2006-01-03
-40,145.625,0.05,2006-01-03
-39.5,143.125,0.18,2006-01-03
-39.5,143.75,0.09,2006-01-03
-39.5,144.375,0.09,2006-01-03
-39.5,145,0.06,2006-01-03
-39.5,145.625,0.1,2006-01-03
-39,143.125,0.09,2006-01-03
-39,143.75,0.06,2006-01-03
-39,144.375,0.06,2006-01-03
-39,145,0.09,2006-01-03
-39,145.625,0.3,2006-01-03
-38.5,143.125,0.02,2006-01-03
-38.5,143.75,0.03,2006-01-03
-38.5,144.375,0.03,2006-01-03
-38.5,145,0.09,2006-01-03
-38.5,145.625,0.31,2006-01-03
-38,143.125,0.01,2006-01-03
-38,143.75,0.02,2006-01-03
-38,144.375,0.03,2006-01-03
-38,145,0.06,2006-01-03
-38,145.625,0.16,2006-01-03
-40,143.125,0.32,2006-01-04
-40,143.75,0.21,2006-01-04
-40,144.375,0.11,2006-01-04
-40,145,0.13,2006-01-04
-40,145.625,0.06,2006-01-04
-39.5,143.125,0.25,2006-01-04
-39.5,143.75,0.15,2006-01-04
-39.5,144.375,0.15,2006-01-04
-39.5,145,0.15,2006-01-04
-39.5,145.625,0.09,2006-01-04
-39,143.125,0.07,2006-01-04
-39,143.75,0.08,2006-01-04
-39,144.375,0.1,2006-01-04
-39,145,0.07,2006-01-04
-39,145.625,0.02,2006-01-04
-38.5,143.125,0.01,2006-01-04
