LAT,LON,RH2M,DATE
-40,143.125,79.99,2006-01-01
-40,143.75,80.68,2006-01-01
-40,144.375,80.39,2006-01-01
-40,145,80.38,2006-01-01
-40,145.625,80.31,2006-01-01
-39.5,143.125,80.43,2006-01-01
-39.5,143.75,80.69,2006-01-01
-39.5,144.375,81.11,2006-01-01
-39.5,145,81.19,2006-01-01
-39.5,145.625,81.31,2006-01-01
-39,143.125,80.63,2006-01-01
-39,143.75,80.65,2006-01-01
-39,144.375,81.64,2006-01-01
-39,145,81.37,2006-01-01
-39,145.625,80.27,2006-01-01
-38.5,143.125,75.48,2006-01-01
-38.5,143.75,76.75,2006-01-01
-38.5,144.375,78.94,2006-01-01
-38.5,145,79.37,2006-01-01
-38.5,145.625,77.96,2006-01-01
-38,143.125,74.57,2006-01-01
-38,143.75,72.45,2006-01-01
-38,144.375,71.01,2006-01-01
-38,145,73.87,2006-01-01
-38,145.625,77.95,2006-01-01
-40,143.125,79.65,2006-01-02
-40,143.75,78.62,2006-01-02
-40,144.375,78.17,2006-01-02
-40,145,78.82,2006-01-02
-40,145.625,79.04,2006-01-02
-39.5,143.125,79.56,2006-01-02
-39.5,143.75,78.36,2006-01-02
-39.5,144.375,78.88,2006-01-02
-39.5,145,79.59,2006-01-02
-39.5,145.625,79.71,2006-01-02
-39,143.125,79.39,2006-01-02
-39,143.75,76.5,2006-01-02
-39,144.375,78.13,2006-01-02
-39,145,78.83,2006-01-02
-39,145.625,78.06,2006-01-02
-38.5,143.125,67.76,2006-01-02
-38.5,143.75,65.31,2006-01-02
-38.5,144.375,70.02,2006-01-02
-38.5,145,72.59,2006-01-02
-38.5,145.625,70.48,2006-01-02
-38,143.125,59.98,2006-01-02
-38,143.75,57.37,2006-01-02
-38,144.375,58.09,2006-01-02
-38,145,63.31,2006-01-02
-38,145.625,62.94,2006-01-02
-40,143.125,76.52,2006-01-03
-40,143.75,75.99,2006-01-03
-40,144.375,74.8,2006-01-03
-40,145,74.98,2006-01-03
-40,145.625,74.33,2006-01-03
-39.5,143.125,77.16,2006-01-03
-39.5,143.75,75.8,2006-01-03
-39.5,144.375,75.49,2006-01-03
-39.5,145,75.32,2006-01-03
-39.5,145.625,75.31,2006-01-03
-39,143.125,77.11,2006-01-03
-39,143.75,74.85,2006-01-03
-39,144.375,76.48,2006-01-03
-39,145,76.06,2006-01-03
-39,145.625,74.14,2006-01-03
-38.5,143.125,64.82,2006-01-03
-38.5,143.75,64.71,2006-01-03
-38.5,144.375,71.64,2006-01-03
-38.5,145,71.58,2006-01-03
-38.5,145.625,65.89,2006-01-03
-38,143.125,58.88,2006-01-03
-38,143.75,56.89,2006-01-03
-38,144.375,60.35,2006-01-03
-38,145,64.15,2006-01-03
-38,145.625,62.83,2006-01-03
-40,143.125,75.81,2006-01-04
-40,143.75,75.77,2006-01-04
-40,144.375,74.87,2006-01-04
-40,145,74.5,2006-01-04
-40,145.625,72.88,2006-01-04
-39.5,143.125,76.27,2006-01-04
-39.5,143.75,74.88,2006-01-04
-39.5,144.375,74.57,2006-01-04
-39.5,145,74.59,2006-01-04
-39.5,145.625,71.63,2006-01-04
-39,143.125,76.6,2006-01-04
-39,143.75,72.91,2006-01-04
-39,144.375,74.61,2006-01-04
-39,145,73.51,2006-01-04
-39,145.625,70.29,2006-01-04
-38.5,143.125,65.36,2006-01-04
-38.5,143.75,64.39,2006-01-04
-38.5,144.375,71.93,2006-01-04
-38.5,145,70.07,2006-01-04
-38.5,145.625,64.59,2006-01-04
-38,143.125,57.67,2006-01-04
-38,143.75,59.47,2006-01-04
-38,144.375,64.33,2006-01-04
-38,145,65.74,2006-01-04
-38,145.625,61.39,2006-01-04
-40,143.125,77.52,2006-01-05
-40,143.75,73.53,2006-01-05
-40,144.375,73.29,2006-01-05
-40,145,73.09,2006-01-05
-40,145.625,72.81,2006-01-05
-39.5,143.125,75.37,2006-01-05
-39.5,143.75,72.71,2006-01-05
-39.5,144.375,74.54,2006-01-05
-39.5,145,75.66,2006-01-05
-39.5,145.625,76.69,2006-01-05
-39,143.125,75.69,2006-01-05
-39,143.75,73.08,2006-01-05
-39,144.375,76.64,2006-01-05
