LAT,LON,T2M,DATE
-40,143.125,12.99,2006-01-01
-40,143.75,12.99,2006-01-01
-40,144.375,13.33,2006-01-01
-40,145,13.63,2006-01-01
-40,145.625,13.89,2006-01-01
-39.5,143.125,13.48,2006-01-01
-39.5,143.75,13.58,2006-01-01
-39.5,144.375,13.9,2006-01-01
-39.5,145,14.11,2006-01-01
-39.5,145.625,14.3,2006-01-01
-39,143.125,14.05,2006-01-01
-39,143.75,13.93,2006-01-01
-39,144.375,14.47,2006-01-01
-39,145,14.65,2006-01-01
-39,145.625,14.76,2006-01-01
-38.5,143.125,13.65,2006-01-01
-38.5,143.75,14.07,2006-01-01
-38.5,144.375,15.03,2006-01-01
-38.5,145,15.24,2006-01-01
-38.5,145.625,14.99,2006-01-01
-38,143.125,13.85,2006-01-01
-38,143.75,14.67,2006-01-01
-38,144.375,16,2006-01-01
-38,145,16.41,2006-01-01
-38,145.625,15.33,2006-01-01
-40,143.125,13.94,2006-01-02
-40,143.75,14.13,2006-01-02
-40,144.375,14.26,2006-01-02
-40,145,14.28,2006-01-02
-40,145.625,14.36,2006-01-02
-39.5,143.125,14.39,2006-01-02
-39.5,143.75,14.56,2006-01-02
-39.5,144.375,14.59,2006-01-02
-39.5,145,14.56,2006-01-02
-39.5,145.625,14.62,2006-01-02
-39,143.125,14.79,2006-01-02
-39,143.75,14.8,2006-01-02
-39,144.375,15.01,2006-01-02
-39,145,14.95,2006-01-02
-39,145.625,14.92,2006-01-02
-38.5,143.125,15.32,2006-01-02
-38.5,143.75,16.12,2006-01-02
-38.5,144.375,16.19,2006-01-02
-38.5,145,15.8,2006-01-02
-38.5,145.625,15.47,2006-01-02
-38,143.125,16.62,2006-01-02
-38,143.75,17.23,2006-01-02
-38,144.375,17.88,2006-01-02
-38,145,17.15,2006-01-02
-38,145.625,16.03,2006-01-02
-40,143.125,12.89,2006-01-03
-40,143.75,13.03,2006-01-03
-40,144.375,13.31,2006-01-03
-40,145,13.4,2006-01-03
-40,145.625,13.61,2006-01-03
-39.5,143.125,13.36,2006-01-03
-39.5,143.75,13.54,2006-01-03
-39.5,144.375,13.74,2006-01-03
-39.5,145,13.81,2006-01-03
-39.5,145.625,13.96,2006-01-03
-39,143.125,13.84,2006-01-03
-39,143.75,13.67,2006-01-03
-39,144.375,14.08,2006-01-03
-39,145,14.22,2006-01-03
-39,145.625,14.28,2006-01-03
-38.5,143.125,13.82,2006-01-03
-38.5,143.75,14.26,2006-01-03
-38.5,144.375,14.68,2006-01-03
-38.5,145,14.79,2006-01-03
-38.5,145.625,14.48,2006-01-03
-38,143.125,14.56,2006-01-03
-38,143.75,15.24,2006-01-03
-38,144.375,15.57,2006-01-03
-38,145,15.46,2006-01-03
-38,145.625,13.79,2006-01-03
-40,143.125,13.51,2006-01-04
-40,143.75,13.5,2006-01-04
-40,144.375,13.74,2006-01-04
-40,145,14.09,2006-01-04
-40,145.625,14.85,2006-01-04
-39.5,143.125,13.84,2006-01-04
-39.5,143.75,13.96,2006-01-04
-39.5,144.375,14.19,2006-01-04
-39.5,145,14.37,2006-01-04
-39.5,145.625,14.92,2006-01-04
-39,143.125,14.11,2006-01-04
-39,143.75,14.07,2006-01-04
-39,144.375,14.43,2006-01-04
-39,145,14.71,2006-01-04
-39,145.625,14.87,2006-01-04
-38.5,143.125,13.96,2006-01-04
-38.5,143.75,14.42,2006-01-04
-38.5,144.375,14.72,2006-01-04
-38.5,145,15.05,2006-01-04
-38.5,145.625,14.75,2006-01-04
-38,143.125,14.97,2006-01-04
-38,143.75,14.71,2006-01-04
-38,144.375,14.8,2006-01-04
-38,145,15.14,2006-01-04
-38,145.625,14.42,2006-01-04
-40,143.125,14.6,2006-01-05
-40,143.75,15.43,2006-01-05
-40,144.375,15.65,2006-01-05
-40,145,15.94,2006-01-05
-40,145.625,16.16,2006-01-05
-39.5,143.125,15.52,2006-01-05
-39.5,143.75,15.92,2006-01-05
-39.5,144.375,15.91,2006-01-05
-39.5,145,16.12,2006-01-05
-39.5,145.625,16.29,2006-01-05
-39,143.125,15.79,2006-01-05
-39,143.75,15.76,2006-01-05
-39,144.375,16.08,2006-01-05
-39,145,16.44,2006-01-05
-39,145.625,16.79,2006-01-05
-38.5,143.125,16.59,2006-01-05
-38.5,143.75,16.39,2006-01-05
-38.5,144.375,16.47,2006-01-05
-38.5,145,17.23,2006-01-05
-38.5,145.625,18.07,2006-01-05
-38,143.125,17.85,2006-01-05
-38,143.75,17.04,2006-01-05
-38,144.375,17.12,2006-01-05
-38,145,17.77,2006-01-05
-38,145.625,18.48,2006-01-05
-40,143.125,15.18,2006-01-06
-40,143.75,15.27,2006-01-06
-40,144.375,15.58,2006-01-06
-40,145,15.72,2006-01-06
-40,145.625,16.11,2006-01-06
-39.5,143.125,15.69,2006-01-06
-39.5,143.75,16.1,2006-01-06
-39.5,144.375,16.18,2006-01-06
-39.5,145,16.09,2006-01-06
-39.5,145.625,16.36,2006-01-06
-39,143.125,16.07,2006-01-06
-39,143.75,16.36,2006-01-06
-39,144.375,16.52,2006-01-06
-39,145,16.43,2006-01-06
-39,145.625,16.65,2006-01-06
-38.5,143.125,16.81,2006-01-06
-38.5,143.75,16.96,2006-01-06
-38.5,144.375,16.72,2006-01-06
-38.5,145,16.9,2006-01-06
-38.5,145.625,17.03,2006-01-06
-38,143.125,17.94,2006-01-06
-38,143.75,16.95,2006-01-06
-38,144.375,16.9,2006-01-06
