LAT,LON,T2M_MIN,DATE
-40,143.125,12.29,2006-01-01
-40,143.75,12.1,2006-01-01
-40,144.375,12.44,2006-01-01
-40,145,12.91,2006-01-01
-40,145.625,13.14,2006-01-01
-39.5,143.125,12.7,2006-01-01
-39.5,143.75,12.62,2006-01-01
-39.5,144.375,13.04,2006-01-01
-39.5,145,13.41,2006-01-01
-39.5,145.625,13.64,2006-01-01
-39,143.125,13.43,2006-01-01
-39,143.75,13.03,2006-01-01
-39,144.375,13.75,2006-01-01
-39,145,13.99,2006-01-01
-39,145.625,13.98,2006-01-01
-38.5,143.125,11.56,2006-01-01
-38.5,143.75,11.5,2006-01-01
-38.5,144.375,13.54,2006-01-01
-38.5,145,14.06,2006-01-01
-38.5,145.625,12.96,2006-01-01
-38,143.125,9.96,2006-01-01
-38,143.75,10.51,2006-01-01
-38,144.375,12.49,2006-01-01
-38,145,13.57,2006-01-01
-38,145.625,11.23,2006-01-01
-40,143.125,13.53,2006-01-02
-40,143.75,13.78,2006-01-02
-40,144.375,13.89,2006-01-02
-40,145,13.79,2006-01-02
-40,145.625,13.87,2006-01-02
-39.5,143.125,13.9,2006-01-02
-39.5,143.75,14.1,2006-01-02
-39.5,144.375,14.14,2006-01-02
-39.5,145,13.96,2006-01-02
-39.5,145.625,14.03,2006-01-02
-39,143.125,14.27,2006-01-02
-39,143.75,13.91,2006-01-02
-39,144.375,14.46,2006-01-02
-39,145,14.33,2006-01-02
-39,145.625,14.5,2006-01-02
-38.5,143.125,12.91,2006-01-02
-38.5,143.75,12.64,2006-01-02
-38.5,144.375,13.92,2006-01-02
-38.5,145,14.3,2006-01-02
-38.5,145.625,13.07,2006-01-02
-38,143.125,11.33,2006-01-02
-38,143.75,11.22,2006-01-02
-38,144.375,12.41,2006-01-02
-38,145,13.08,2006-01-02
-38,145.625,11.59,2006-01-02
-40,143.125,12.5,2006-01-03
-40,143.75,12.34,2006-01-03
-40,144.375,12.68,2006-01-03
-40,145,12.93,2006-01-03
-40,145.625,12.94,2006-01-03
-39.5,143.125,12.77,2006-01-03
-39.5,143.75,12.73,2006-01-03
-39.5,144.375,13.15,2006-01-03
-39.5,145,13.36,2006-01-03
-39.5,145.625,13.43,2006-01-03
-39,143.125,13.31,2006-01-03
-39,143.75,12.77,2006-01-03
-39,144.375,13.49,2006-01-03
-39,145,13.78,2006-01-03
-39,145.625,13.58,2006-01-03
-38.5,143.125,11.45,2006-01-03
-38.5,143.75,11.82,2006-01-03
-38.5,144.375,13.45,2006-01-03
-38.5,145,13.88,2006-01-03
-38.5,145.625,12.67,2006-01-03
-38,143.125,9.61,2006-01-03
-38,143.75,10.18,2006-01-03
-38,144.375,12.23,2006-01-03
-38,145,12.38,2006-01-03
-38,145.625,9.31,2006-01-03
-40,143.125,13.1,2006-01-04
-40,143.75,13.02,2006-01-04
-40,144.375,13.29,2006-01-04
-40,145,13.5,2006-01-04
-40,145.625,13.49,2006-01-04
-39.5,143.125,13.5,2006-01-04
-39.5,143.75,13.52,2006-01-04
-39.5,144.375,13.89,2006-01-04
-39.5,145,13.81,2006-01-04
-39.5,145.625,13.74,2006-01-04
-39,143.125,13.91,2006-01-04
-39,143.75,13.51,2006-01-04
-39,144.375,14,2006-01-04
-39,145,14.07,2006-01-04
-39,145.625,14.2,2006-01-04
-38.5,143.125,10.92,2006-01-04
-38.5,143.75,12.03,2006-01-04
-38.5,144.375,13.99,2006-01-04
-38.5,145,14.49,2006-01-04
-38.5,145.625,12.16,2006-01-04
-38,143.125,9.32,2006-01-04
-38,143.75,10.44,2006-01-04
-38,144.375,12,2006-01-04
-38,145,11.68,2006-01-04
-38,145.625,8.68,2006-01-04
-40,143.125,13.87,2006-01-05
-40,143.75,14.39,2006-01-05
-40,144.375,14.47,2006-01-05
-40,145,15.17,2006-01-05
-40,145.625,15.25,2006-01-05
-39.5,143.125,14.26,2006-01-05
-39.5,143.75,14.75,2006-01-05
-39.5,144.375,14.58,2006-01-05
-39.5,145,15.17,2006-01-05
-39.5,145.625,15.26,2006-01-05
-39,143.125,14.44,2006-01-05
-39,143.75,14.79,2006-01-05
-39,144.375,14.69,2006-01-05
-39,145,15.43,2006-01-05
-39,145.625,16.08,2006-01-05
-38.5,143.125,13.07,2006-01-05
-38.5,143.75,13.85,2006-01-05
-38.5,144.375,15.36,2006-01-05
-38.5,145,16.38,2006-01-05
-38.5,145.625,14.11,2006-01-05
-38,143.125,10.94,2006-01-05
-38,143.75,11.51,2006-01-05
-38,144.375,13.72,2006-01-05
-38,145,13.68,2006-01-05
-38,145.625,10.77,2006-01-05
-40,143.125,14.59,2006-01-06
-40,143.75,14.69,2006-01-06
-40,144.375,15.04,2006-01-06
-40,145,15.38,2006-01-06
-40,145.625,15.69,2006-01-06
-39.5,143.125,15.11,2006-01-06
-39.5,143.75,15.57,2006-01-06
-39.5,144.375,15.76,2006-01-06
-39.5,145,15.64,2006-01-06
-39.5,145.625,15.85,2006-01-06
-39,143.125,15.49,2006-01-06
-39,143.75,15.36,2006-01-06
-39,144.375,16,2006-01-06
-39,145,15.79,2006-01-06
-39,145.625,16.11,2006-01-06
-38.5,143.125,11.85,2006-01-06
-38.5,143.75,12.98,2006-01-06
-38.5,144.375,15.43,2006-01-06
-38.5,145,15.43,2006-01-06
-38.5,145.625,12.9,2006-01-06
-38,143.125,9.73,2006-01-06
-38,143.75,9.8,2006-01-06
-38,144.375,11.89,2006-01-06
