LAT,LON,WS2M,DATE
-40,143.125,6.68,2006-01-01
-40,143.75,6.97,2006-01-01
-40,144.375,7.55,2006-01-01
-40,145,8.29,2006-01-01
-40,145.625,8.81,2006-01-01
-39.5,143.125,6.38,2006-01-01
-39.5,143.75,6.75,2006-01-01
-39.5,144.375,7.32,2006-01-01
-39.5,145,7.74,2006-01-01
-39.5,145.625,8.13,2006-01-01
-39,143.125,5.38,2006-01-01
-39,143.75,5.28,2006-01-01
-39,144.375,6.83,2006-01-01
-39,145,7.08,2006-01-01
-39,145.625,6.18,2006-01-01
-38.5,143.125,1.19,2006-01-01
-38.5,143.75,2.81,2006-01-01
-38.5,144.375,5.63,2006-01-01
-38.5,145,5,2006-01-01
-38.5,145.625,2,2006-01-01
-38,143.125,1.69,2006-01-01
-38,143.75,2.99,2006-01-01
-38,144.375,4.64,2006-01-01
-38,145,4.31,2006-01-01
-38,145.625,0.14,2006-01-01
-40,143.125,9.45,2006-01-02
-40,143.75,9.68,2006-01-02
-40,144.375,9.87,2006-01-02
-40,145,10.1,2006-01-02
-40,145.625,10.63,2006-01-02
-39.5,143.125,9.09,2006-01-02
-39.5,143.75,9.36,2006-01-02
-39.5,144.375,9.43,2006-01-02
-39.5,145,9.54,2006-01-02
-39.5,145.625,9.64,2006-01-02
-39,143.125,7.62,2006-01-02
-39,143.75,6.76,2006-01-02
-39,144.375,7.87,2006-01-02
-39,145,7.89,2006-01-02
-39,145.625,6.94,2006-01-02
-38.5,143.125,1.64,2006-01-02
-38.5,143.75,3.23,2006-01-02
-38.5,144.375,5.44,2006-01-02
-38.5,145,4.56,2006-01-02
-38.5,145.625,2.07,2006-01-02
-38,143.125,1.99,2006-01-02
-38,143.75,3.32,2006-01-02
-38,144.375,4.1,2006-01-02
-38,145,3.34,2006-01-02
-38,145.625,0.14,2006-01-02
-40,143.125,6.79,2006-01-03
-40,143.75,7.24,2006-01-03
-40,144.375,7.89,2006-01-03
-40,145,8.38,2006-01-03
-40,145.625,8.49,2006-01-03
-39.5,143.125,6.5,2006-01-03
-39.5,143.75,6.81,2006-01-03
-39.5,144.375,7.38,2006-01-03
-39.5,145,7.74,2006-01-03
-39.5,145.625,8,2006-01-03
-39,143.125,5.74,2006-01-03
-39,143.75,5.19,2006-01-03
-39,144.375,6.77,2006-01-03
-39,145,7.01,2006-01-03
-39,145.625,6.02,2006-01-03
-38.5,143.125,1.37,2006-01-03
-38.5,143.75,3.12,2006-01-03
-38.5,144.375,6.1,2006-01-03
-38.5,145,5.23,2006-01-03
-38.5,145.625,2.06,2006-01-03
-38,143.125,1.86,2006-01-03
-38,143.75,3.62,2006-01-03
-38,144.375,5.14,2006-01-03
-38,145,4.6,2006-01-03
-38,145.625,0.17,2006-01-03
